Embassy,Location,Neighborhood,Image,Notes,Flag_url,Image_url,Flag_height,Image_height,Flag_width,Image_width,Reference_url,Location_query,lat,lng
 Croatia,2343 Massachusetts Avenue NW,Embassy Row,,40,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/23px-Flag_of_Croatia.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Embassy_of_Croatia_United_States.JPG/150px-Embassy_of_Croatia_United_States.JPG,12,121,23,150,http://us.mvep.hr/en/,"2343 Massachusetts Avenue NW, Washington, DC",38.9134927,-77.0522542
 Cuba,2630 16th Street NW,Adams Morgan,,41,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Cuba.svg/23px-Flag_of_Cuba.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Embassy_of_the_Republic_of_Cuba_in_Washington%2C_D.C.jpg/150px-Embassy_of_the_Republic_of_Cuba_in_Washington%2C_D.C.jpg,12,100,23,150,http://www.cubadiplomatica.cu/eeuu/EN/Home.aspx,"2630 16th Street NW, Washington, DC",38.9241488,-77.0368814
 Cyprus,2211 R Street NW,Kalorama,,42,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Cyprus.svg/23px-Flag_of_Cyprus.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Embassy_of_Cyprus%2C_Washington%2C_D.C..jpg/150px-Embassy_of_Cyprus%2C_Washington%2C_D.C..jpg,15,150,23,150,http://www.cyprusembassy.net/home/,"2211 R Street NW, Washington, DC",38.9127965,-77.04938539999999
 Czech Republic,3900 Spring of Freedom Street NW,Forest Hills,,43,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/23px-Flag_of_the_Czech_Republic.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Czech_embassy_Washington_3020.jpg/150px-Czech_embassy_Washington_3020.jpg,15,104,23,150,http://www.mzv.cz/washington/,"3900 Spring of Freedom Street NW, Washington, DC",38.9393383,-77.0542427
 Denmark,3200 Whitehaven Street NW,Embassy Row,,44,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/20px-Flag_of_Denmark.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Denmark_embassy_2.JPG/150px-Denmark_embassy_2.JPG,15,113,20,150,http://usa.um.dk,"3200 Whitehaven Street NW, Washington, DC",38.917366,-77.063146
 Djibouti,1156 15th Street NW,Downtown,,45,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_Djibouti.svg/23px-Flag_of_Djibouti.svg.png,https:,15,0,23,0,http://www.embassy.org/embassies/dj.html,"1156 15th Street NW, Washington, DC",38.9053932,-77.0350156
 Dominica,3216 New Mexico Avenue NW,Wesley Heights,,46,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flag_of_Dominica.svg/23px-Flag_of_Dominica.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Embassy_Antigua_et_al.jpg/150px-Embassy_Antigua_et_al.jpg,12,102,23,150,http://www.embassy.org/embassies/dm.html,"3216 New Mexico Avenue NW, Washington, DC",38.9332081,-77.08594269999999
 Dominican Republic,1715 22nd Street NW,Kalorama,,47,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_the_Dominican_Republic.svg/23px-Flag_of_the_Dominican_Republic.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Embassy_of_Dominican_Republic_United_States.JPG/150px-Embassy_of_Dominican_Republic_United_States.JPG,15,183,23,150,http://www.domrep.org,"1715 22nd Street NW, Washington, DC",38.9131994,-77.0485083
 East Timor (Timor-Leste),4201 Connecticut Ave. NW,Embassy Row,,48,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Flag_of_East_Timor.svg/23px-Flag_of_East_Timor.svg.png,https:,12,0,23,0,http://www.timorlesteembassy.org,"4201 Connecticut Ave. NW, Washington, DC",38.9434867,-77.0626075
 Ecuador,2535 15th Street NW,Columbia Heights,,49,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_Ecuador.svg/23px-Flag_of_Ecuador.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Ecuadorean_Embassy_in_Washington%2C_D.C._%2815-07-2006%29.jpg/150px-Ecuadorean_Embassy_in_Washington%2C_D.C._%2815-07-2006%29.jpg,15,113,23,150,http://www.ecuador.org/nuevosite/,"2535 15th Street NW, Washington, DC",38.9232367,-77.03501469999999
